"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Corpse Party: Book of Shadows","0","0","6","0","0.67","0.67","0.11","0.23","-109.1","0.13","0.13","90","0.29","2018-10-29","778390"
"Windstorm: Start of a Great Friendship","0","0","6","0","0.34","0.34","0.06","0.07","-16.7","0.85","0.13","58","0.16","2018-10-27","649810"
"ADAPTR","0","0","6","0","2.33","2.33","0.39","N/A","0.0","0.73","0.10","13","1.02","2018-10-26","516570"
"Skeletal Dance Party","0","0","6","0","1.22","1.22","0.20","N/A","0.0","0.81","1.30","43","0.52","2018-10-24","599160"
"Brawlerz Arena","0","0","6","0","4.06","4.06","0.68","N/A","0.0","0.40","0.46","22","1.77","2018-10-20","342660"
"Party Hard 2","0","0","6","0","0.34","0.34","0.06","0.04","33.3","0.06","0.05","203","0.16","2018-10-19","572430"
"Warlocks 2: God Slayers","0","0","6","0","0.45","0.45","0.08","0.10","-25.0","1.22","0.04","18","0.21","2018-10-17","628330"
"Grimmwood","0","0","6","0","1.00","1.00","0.17","1.47","-764.7","2.65","5.45","30","0.44","2018-10-12","809280"
"Elea","0","0","6","0","1.78","1.78","0.30","N/A","0.0","0.24","1.23","28","0.78","2018-10-12","812020"
"The Hex","0","0","6","0","0.30","0.30","0.05","0.04","20.0","0.03","0.03","235","0.13","2018-10-11","510420"
"恋爱模拟器 Love Simulation","0","0","6","0","0.43","0.43","0.07","0.16","-128.6","0.08","2.60","83","0.18","2018-10-10","836480"
"Music Racer","0","0","6","0","0.51","0.51","0.09","0.06","33.3","0.03","0.03","63","0.23","2018-10-04","893030"
"The Midnight Sanctuary","0","0","6","0","0.42","0.42","0.07","N/A","0.0","0.93","1.67","27","0.18","2018-10-04","610980"
"Cursed Lands","0","0","6","0","0.64","0.64","0.11","0.50","-354.5","0.41","1.28","32","0.29","2018-09-29","758320"
"Deep Sky Derelicts","0","0","6","0","0.32","0.32","0.05","0.04","20.0","0.05","0.04","172","0.13","2018-09-26","698640"
"Zoo Tycoon","0","0","6","0","0.31","0.31","0.05","0.05","0.0","0.08","0.06","182","0.13","2018-09-26","613880"
"Speed Brawl","0","0","6","0","0.35","0.35","0.06","0.06","0.0","0.07","0.04","47","0.16","2018-09-18","468670"
"Shadow of the Tomb Raider","0","0","6","0","0.41","0.41","0.07","0.05","28.6","0.04","0.05","1486","0.18","2018-09-17","750920"
"Torn","0","0","6","0","0.37","0.37","0.06","0.34","-466.7","0.17","0.28","43","0.16","2018-09-14","557520"
"BLACK CLOVER: QUARTET KNIGHTS","0","0","6","0","0.61","0.61","0.10","0.16","-60.0","0.19","0.09","110","0.26","2018-09-14","714080"
"Archangel™: Hellfire","0","0","6","0","0.43","0.43","0.07","0.09","-28.6","0.20","0.03","71","0.18","2018-09-13","553880"
"4D Toys","0","0","6","0","0.41","0.41","0.07","0.88","-1,157.1","0.48","1.85","27","0.18","2018-09-12","619210"
"Pig Eat Ball","0","0","6","0","0.57","0.57","0.09","0.25","-177.8","0.24","4.93","17","0.23","2018-09-07","339090"
"Sky Clash: Lords of Clans 3D","0","0","6","0","0.75","0.75","0.12","0.17","-41.7","0.64","0.63","14","0.31","2018-09-06","630140"
"Omni Link","0","0","6","0","0.81","0.81","0.13","N/A","0.0","0.90","0.12","28","0.34","2018-09-05","529100"
"Donut County","0","0","6","0","0.52","0.52","0.09","0.06","33.3","0.05","0.05","294","0.23","2018-09-05","702670"
"303 Squadron: Battle of Britain","0","0","6","0","0.49","0.49","0.08","0.15","-87.5","0.41","0.05","49","0.21","2018-09-01","675170"
"妄想症 Deliver Me","0","0","6","0","0.42","0.42","0.07","0.06","14.3","0.03","0.03","126","0.18","2018-08-31","779640"
"Shadows: Awakening","0","0","6","0","0.31","0.31","0.05","0.04","20.0","0.04","0.06","224","0.13","2018-08-30","585450"
"Bronze Age","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.29","0.03","88","0.16","2018-08-20","686900"
"Evergarden","0","0","6","0","0.31","0.31","0.05","0.04","20.0","0.03","0.03","166","0.13","2018-08-19","576500"
"Monster Minis Extreme Off-Road","0","0","6","0","0.53","0.53","0.09","N/A","0.0","0.76","3.95","19","0.23","2018-08-16","348570"
"Catch & Release","0","0","6","0","0.34","0.34","0.06","0.17","-183.3","0.14","0.35","56","0.16","2018-08-14","679750"
"Steven Universe: Save the Light","0","0","6","0","0.60","0.60","0.10","N/A","0.0","0.28","0.07","83","0.26","2018-08-13","821890"
"Far Cry 5","0","0","6","0","0.37","0.37","0.06","0.04","33.3","0.05","0.05","2446","0.16","2018-08-13","552520"
"Warmonger","0","0","6","0","1.11","1.11","0.19","N/A","0.0","0.46","1.69","11","0.50","2018-08-07","718790"
"Immortal: Unchained","0","0","6","0","0.34","0.34","0.06","0.07","-16.7","0.08","0.07","56","0.16","2018-08-06","369440"
"Hunt: Showdown","0","0","6","0","0.44","0.44","0.07","0.07","0.0","0.04","0.05","2206","0.18","2018-08-06","594650"
"Timber Tennis: Versus","0","0","6","0","0.25","0.25","0.04","0.02","50.0","0.03","0.03","75","0.10","2018-08-06","321160"
"SaGa SCARLET GRACE: AMBITIONS™","0","0","6","0","0.46","0.46","0.08","0.21","-162.5","0.08","0.87","34","0.21","2018-08-02","686720"
"Dungeon Girl","0","0","6","0","1.08","1.08","0.18","0.19","-5.6","1.05","0.94","15","0.47","2018-07-30","494090"
"ZIQ","0","0","6","0","0.38","0.38","0.06","0.23","-283.3","6.15","2.21","43","0.16","2018-07-28","538900"
"Evil Labs","0","0","6","0","0.38","0.38","0.06","0.12","-100.0","3.06","0.26","36","0.16","2018-07-27","680860"
"The Lost Island","0","0","6","0","0.37","0.37","0.06","0.06","0.0","0.10","0.08","40","0.16","2018-07-24","416260"
"Zone of Lacryma","0","0","6","0","0.70","0.70","0.12","N/A","0.0","2.84","3.79","12","0.31","2018-07-24","496540"
"Mega Man X Legacy Collection","0","0","6","0","0.67","0.67","0.11","0.09","18.2","0.05","0.05","165","0.29","2018-07-22","743890"
"Mega Man X Legacy Collection 2","0","0","6","0","0.56","0.56","0.09","0.37","-311.1","0.07","0.06","152","0.23","2018-07-19","743900"
"Wild West Saga","0","0","6","0","0.66","0.66","0.11","0.31","-181.8","0.66","0.14","46","0.29","2018-07-16","842150"
"Summer Funland","0","0","6","0","0.54","0.54","0.09","0.14","-55.6","2.50","0.63","39","0.23","2018-07-13","780280"
"My Ex-Boyfriend the Space Tyrant","0","0","6","0","0.46","0.46","0.08","1.51","-1,787.5","3.89","0.31","26","0.21","2018-07-11","312970"
"ICY: Frostbite Edition","0","0","6","0","0.33","0.33","0.06","0.04","33.3","0.05","0.03","78","0.16","2018-07-11","680480"
"Urban War Defense","0","0","6","0","0.54","0.54","0.09","0.97","-977.8","3.39","0.41","13","0.23","2018-07-11","397760"
"Line of Sight","0","0","6","0","0.65","0.65","0.11","0.12","-9.1","0.17","0.06","38","0.29","2018-07-09","436520"
"M.I.A.","0","0","6","0","34.89","34.89","5.82","N/A","0.0","3.90","59.37","12","15.18","2018-07-05","712060"
"Magnificent Ships: Volume 2","0","0","6","0","4.34","4.34","0.72","N/A","0.0","13.52","1.94","17","1.88","2018-06-30","628450"
"Marble Skies","0","0","6","0","0.38","0.38","0.06","0.48","-700.0","1.12","0.17","57","0.16","2018-06-30","742460"
"Magnificent Ships: Volume 1","0","0","6","0","0.94","0.94","0.16","0.39","-143.8","2.07","17.81","8","0.42","2018-06-29","557850"
"Excellent Expectations","0","0","6","0","0.77","0.77","0.13","0.20","-53.8","0.04","1.80","59","0.34","2018-06-28","759940"
"Starlight Drifter","0","0","6","0","0.60","0.60","0.10","0.14","-40.0","1.19","0.22","33","0.26","2018-06-25","326060"
"DUSK","0","0","6","0","0.38","0.38","0.06","0.04","33.3","0.04","0.10","445","0.16","2018-06-23","519860"
"Idle Champions of the Forgotten Realms","0","0","6","0","0.43","0.43","0.07","0.06","14.3","0.06","0.06","303","0.18","2018-06-19","627690"
"Pixel Painter","0","0","6","0","0.53","0.53","0.09","0.06","33.3","0.03","0.03","156","0.23","2018-06-19","648120"
"Escape First","0","0","6","0","0.37","0.37","0.06","0.04","33.3","0.10","0.07","122","0.16","2018-06-18","850450"
"MotoGP™18","0","0","6","0","0.49","0.49","0.08","0.04","50.0","0.06","0.26","98","0.21","2018-06-18","775900"
"Unavowed","0","0","6","0","0.32","0.32","0.05","0.06","-20.0","0.06","0.09","120","0.13","2018-06-13","336140"
"Jurassic World Evolution","0","0","6","0","0.30","0.30","0.05","0.04","20.0","0.05","0.05","2102","0.13","2018-06-13","648350"
"Cold Iron","0","0","6","0","4.29","4.29","0.71","N/A","0.0","1.73","1.84","16","1.85","2018-06-05","543440"
"Crimson Gray","0","0","6","0","1.48","1.48","0.25","0.24","4.0","7.08","0.10","16","0.65","2018-06-02","655770"
"Yoku's Island Express","0","0","6","0","0.28","0.28","0.05","0.04","20.0","0.03","0.03","245","0.13","2018-05-30","334940"
"INFERNIUM","0","0","6","0","0.52","0.52","0.09","1.01","-1,022.2","2.14","0.42","31","0.23","2018-05-29","789950"
"Fantasy Versus","0","0","6","0","0.42","0.42","0.07","0.07","0.0","0.07","0.08","61","0.18","2018-05-29","787400"
"Bloodstained: Curse of the Moon","0","0","6","0","0.36","0.36","0.06","0.06","0.0","0.05","0.05","194","0.16","2018-05-25","838310"
"Kabounce","0","0","6","0","0.36","0.36","0.06","0.14","-133.3","0.75","0.21","45","0.16","2018-05-23","431930"
"Mother Simulator","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.12","0.03","72","0.16","2018-05-22","802730"
"Infectonator 3: Apocalypse","0","0","6","0","0.32","0.32","0.05","0.04","20.0","0.05","0.05","117","0.13","2018-05-17","666570"
"Zup! X","0","0","6","0","1.09","1.09","0.18","0.10","44.4","0.03","0.46","68","0.47","2018-05-17","508900"
"Third Front: WWII","0","0","6","0","0.40","0.40","0.07","0.08","-14.3","0.44","0.26","29","0.18","2018-05-16","804730"
"Raging Justice","0","0","6","0","0.41","0.41","0.07","0.05","28.6","0.44","0.06","27","0.18","2018-05-15","384200"
"Lazy Galaxy","0","0","6","0","0.37","0.37","0.06","0.33","-450.0","0.48","0.20","33","0.16","2018-05-15","724470"
"The Forgotten Void","0","0","6","0","0.55","0.55","0.09","0.33","-266.7","2.19","0.06","18","0.23","2018-05-15","600290"
"'n Verlore Verstand","0","0","6","0","0.57","0.57","0.10","0.17","-70.0","0.81","0.04","39","0.26","2018-05-15","439550"
"Rogues Like Us","0","0","6","0","1.24","1.24","0.21","N/A","0.0","10.23","4.94","11","0.55","2018-05-15","492410"
"Ruler by Default","0","0","6","0","0.98","0.98","0.16","N/A","0.0","0.33","0.10","24","0.42","2018-05-04","366920"
"Pirate Code","0","0","6","0","1.07","1.07","0.18","0.63","-250.0","4.04","0.25","32","0.47","2018-05-04","370120"
"Wildlife Park 2 - Farm World","0","0","6","0","0.49","0.49","0.08","0.32","-300.0","8.71","0.17","37","0.21","2018-05-02","307920"
"Apocryph","0","0","6","0","0.40","0.40","0.07","0.06","14.3","0.12","0.17","30","0.18","2018-04-27","596240"
"Empire Architect","0","0","6","0","0.78","0.78","0.13","0.91","-600.0","0.52","4.15","35","0.34","2018-04-27","593490"
"Moe Jigsaw","0","0","6","0","1.08","1.08","0.18","0.12","33.3","1.05","0.33","21","0.47","2018-04-27","785840"
"EARTH DEFENSE FORCE 4.1  WINGDIVER THE SHOOTER","0","0","6","0","0.35","0.35","0.06","0.20","-233.3","0.21","0.23","49","0.16","2018-04-26","574200"
"Frostpunk","0","0","6","0","0.34","0.34","0.06","0.04","33.3","0.05","0.05","1731","0.16","2018-04-24","323190"
"Zup! 8","0","0","6","0","0.74","0.74","0.12","0.13","-8.3","0.03","1.21","251","0.31","2018-04-24","799070"
"BATTLETECH","0","0","6","0","0.31","0.31","0.05","0.05","0.0","0.05","0.05","858","0.13","2018-04-20","637090"
"Sarcophag","0","0","6","0","0.30","0.30","0.05","0.03","40.0","0.03","0.04","223","0.13","2018-04-17","631830"
"Forest Fortress","0","0","6","0","0.68","0.68","0.11","0.18","-63.6","0.09","0.14","37","0.29","2018-04-16","616620"
"Through the Ages","0","0","6","0","0.38","0.38","0.06","0.09","-50.0","0.44","0.48","142","0.16","2018-04-13","758370"
"Germination","0","0","6","0","0.44","0.44","0.07","0.05","28.6","0.78","0.03","21","0.18","2018-04-12","428490"
"OF MICE AND SAND -REVISED-","0","0","6","0","0.35","0.35","0.06","0.09","-50.0","0.30","0.80","56","0.16","2018-04-12","785780"
"Masters of Anima","0","0","6","0","0.36","0.36","0.06","0.05","16.7","0.06","0.06","63","0.16","2018-04-12","606890"
"Force of Nature","0","0","6","0","0.29","0.29","0.05","0.03","40.0","0.05","0.04","170","0.13","2018-04-12","568570"
"Bud Spencer & Terence Hill - Slaps And Beans","0","0","6","0","0.49","0.49","0.08","0.16","-100.0","0.39","0.08","151","0.21","2018-03-30","564050"
"Empires Apart","0","0","6","0","0.77","0.77","0.13","0.14","-7.7","0.40","0.58","19","0.34","2018-03-29","530630"
"King of the World","0","0","6","0","0.82","0.82","0.14","0.33","-135.7","2.07","0.29","32","0.37","2018-03-28","615020"
"The Longest Five Minutes","0","0","6","0","0.32","0.32","0.05","N/A","0.0","0.51","0.16","33","0.13","2018-03-23","504110"
"Basingstoke","0","0","6","0","0.47","0.47","0.08","0.06","25.0","0.05","0.03","59","0.21","2018-03-21","336940"
"Exiled Kingdoms","0","0","6","0","0.47","0.47","0.08","0.08","0.0","0.08","0.05","45","0.21","2018-03-21","788270"
"The 25th Ward: The Silver Case","0","0","6","0","0.51","0.51","0.09","N/A","0.0","0.05","0.32","43","0.23","2018-03-19","697650"
"Chinese Paladin：Sword and Fairy 6","0","0","6","0","0.38","0.38","0.06","0.18","-200.0","0.11","0.43","63","0.16","2018-03-16","696360"
"Hakuoki: Edo Blossoms","0","0","6","0","0.82","0.82","0.14","0.13","7.1","0.06","0.15","72","0.37","2018-03-13","733340"
"Fear Effect Sedna","0","0","6","0","0.35","0.35","0.06","0.06","0.0","0.07","0.04","54","0.16","2018-03-13","546900"
"Ninja Tycoon","0","0","6","0","0.41","0.41","0.07","0.06","14.3","11.26","0.19","41","0.18","2018-03-10","779330"
"FINAL FANTASY XV WINDOWS EDITION","0","0","6","0","0.54","0.54","0.09","0.09","0.0","0.05","0.05","887","0.23","2018-03-08","637650"
"Way of the Passive Fist","0","0","6","0","0.34","0.34","0.06","0.08","-33.3","0.04","0.06","40","0.16","2018-03-06","625680"
"OPUS: Rocket of Whispers","0","0","6","0","0.43","0.43","0.07","0.07","0.0","0.06","0.27","65","0.18","2018-03-06","742250"
"ChronoClock","0","0","6","0","0.54","0.54","0.09","N/A","0.0","0.92","0.72","59","0.23","2018-03-05","539660"
"Coffee Crisis","0","0","6","0","0.46","0.46","0.08","0.05","37.5","0.03","0.03","29","0.21","2018-02-28","596380"
"Gazing from beyond","0","0","6","0","0.72","0.72","0.12","0.17","-41.7","0.06","0.04","43","0.31","2018-02-28","782690"
"Lizard","0","0","6","0","1.06","1.06","0.18","0.35","-94.4","14.16","2.63","38","0.47","2018-02-22","400280"
"Dark Blood Chronicles","0","0","6","0","0.76","0.76","0.13","0.30","-130.8","1.19","5.10","26","0.34","2018-02-22","604920"
"Guns, Gore and Cannoli 2","0","0","6","0","0.32","0.32","0.05","0.04","20.0","0.05","0.05","180","0.13","2018-02-18","525510"
"Handball Action Total","0","0","6","0","0.67","0.67","0.11","N/A","0.0","3.60","7.37","17","0.29","2018-02-16","486940"
"Barrage Musical ～A Fantasy of Tempest～","0","0","6","0","0.38","0.38","0.06","0.27","-350.0","0.71","0.31","40","0.16","2018-02-16","665270"
"Dead Maze","0","0","6","0","0.82","0.82","0.14","0.33","-135.7","0.27","0.08","34","0.37","2018-02-14","667890"
"Burnin' Rubber 5 HD","0","0","6","0","0.84","0.84","0.14","0.10","28.6","0.15","11.92","21","0.37","2018-02-14","420660"
"Mulaka","0","0","6","0","0.37","0.37","0.06","0.56","-833.3","0.06","0.76","42","0.16","2018-02-14","623640"
"Hoshizora no Memoria -Wish upon a Shooting Star-","0","0","6","0","0.86","0.86","0.14","0.18","-28.6","0.26","0.65","60","0.37","2018-02-13","715580"
"Darkestville Castle","0","0","6","0","0.40","0.40","0.07","0.04","42.9","0.08","0.06","63","0.18","2018-02-13","689900"
"Wild Romance: Mofu Mofu Edition","0","0","6","0","0.70","0.70","0.12","0.16","-33.3","0.16","0.34","61","0.31","2018-02-13","748480"
"Art Of Gravity","0","0","6","0","0.41","0.41","0.07","0.06","14.3","0.06","0.03","59","0.18","2018-02-13","642560"
"HEADLINER","0","0","6","0","0.35","0.35","0.06","0.07","-16.7","0.06","0.05","110","0.16","2018-02-03","680980"
"Violet Cycle","0","0","6","0","0.37","0.37","0.06","N/A","0.0","0.09","0.94","24","0.16","2018-02-02","595010"
"Legrand Legacy","0","0","6","0","0.36","0.36","0.06","0.05","16.7","0.07","0.06","78","0.16","2018-02-02","556740"
"Remothered: Tormented Fathers","0","0","6","0","0.36","0.36","0.06","0.04","33.3","0.05","0.05","150","0.16","2018-02-01","633360"
"Scarab Tales","0","0","6","0","0.43","0.43","0.07","0.28","-300.0","0.03","0.03","128","0.18","2018-01-31","370050"
"Light Tracer","0","0","6","0","1.62","1.62","0.27","0.37","-37.0","0.21","6.32","22","0.70","2018-01-30","680400"
"Puzzle Poker","0","0","6","0","1.50","1.50","0.25","0.12","52.0","0.03","0.39","75","0.65","2018-01-28","554660"
"Treasure Adventure World","0","0","6","0","0.33","0.33","0.06","0.08","-33.3","0.29","0.04","48","0.16","2018-01-26","268770"
"Wulverblade","0","0","6","0","0.34","0.34","0.06","0.06","0.0","0.05","1.54","44","0.16","2018-01-24","587180"
"The Red Strings Club","0","0","6","0","0.53","0.53","0.09","0.07","22.2","0.05","0.05","183","0.23","2018-01-23","589780"
"3SwitcheD","0","0","6","0","0.41","0.41","0.07","0.05","28.6","0.03","0.03","184","0.18","2018-01-23","206610"
"TheNightfall","0","0","6","0","0.78","0.78","0.13","0.38","-192.3","0.76","1.28","21","0.34","2018-01-18","611620"
"Bunker Punks","0","0","6","0","0.35","0.35","0.06","0.06","0.0","0.08","0.16","59","0.16","2018-01-15","446120"
"Algo Bot","0","0","6","0","0.37","0.37","0.06","0.04","33.3","0.37","0.05","27","0.16","2018-01-12","286300"
"Fractal","0","0","6","0","0.65","0.65","0.11","0.40","-263.6","24.02","0.04","20","0.29","2018-01-11","566180"
"Into Oblivion","0","0","6","0","0.38","0.38","0.06","N/A","0.0","2.39","1.45","20","0.16","2018-01-11","618990"
"The Station","0","0","6","0","0.46","0.46","0.08","0.10","-25.0","0.08","0.09","52","0.21","2018-01-11","565120"
"Zup! 7","0","0","6","0","0.94","0.94","0.16","0.09","43.8","0.03","0.46","134","0.42","2018-01-10","658560"
"Dark Quest 2","0","0","6","0","0.38","0.38","0.06","0.04","33.3","0.51","0.07","69","0.16","2018-01-08","453690"
"Medieval Kingdom Wars","0","0","6","0","0.31","0.31","0.05","0.04","20.0","0.05","0.07","161","0.13","2018-01-04","499660"
"ProtoMasons","0","0","6","0","1.39","1.39","0.23","N/A","0.0","61.09","2.14","22","0.60","2018-01-03","346760"
"Monster Slayers","0","0","6","0","0.29","0.29","0.05","0.04","20.0","0.03","0.03","185","0.13","2017-12-23","496620"
"They Are Billions","0","0","6","0","0.24","0.24","0.04","0.02","50.0","0.05","0.04","1196","0.10","2017-12-22","644930"
"Heli Heroes","0","0","6","0","0.42","0.42","0.07","0.04","42.9","0.03","0.03","843","0.18","2017-12-20","259320"
"Observer","0","0","6","0","0.31","0.31","0.05","0.04","20.0","0.05","0.05","181","0.13","2017-12-19","514900"
"Vulture Strike","0","0","6","0","0.50","0.50","0.08","N/A","0.0","0.10","0.15","35","0.21","2017-12-17","635590"
"Bit Heroes","0","0","6","0","0.35","0.35","0.06","0.05","16.7","0.06","0.06","149","0.16","2017-12-15","666860"
"Finding Paradise","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.04","0.04","292","0.16","2017-12-14","337340"
"Golem Gates","0","0","6","0","0.39","0.39","0.07","0.04","42.9","2.82","0.22","26","0.18","2017-12-12","575970"
"The Journey Down: Chapter Three","0","0","6","0","0.36","0.36","0.06","0.05","16.7","0.04","0.03","113","0.16","2017-12-11","579760"
"Boiling Bolt","0","0","6","0","0.59","0.59","0.10","0.18","-80.0","0.04","1.48","22","0.26","2017-12-11","462250"
"仙剑奇侠传六(Chinese Paladin：Sword and Fairy 6)","0","0","6","0","0.58","0.58","0.10","0.18","-80.0","0.10","0.86","72","0.26","2017-11-30","681810"
"Stay Alive: Apocalypse","0","0","6","0","0.91","0.91","0.15","0.21","-40.0","0.34","0.24","13","0.39","2017-11-30","622420"
"World War II: Panzer Claws","0","0","6","0","0.34","0.34","0.06","0.03","50.0","0.03","0.03","619","0.16","2017-11-28","254100"
"The Journey Back","0","0","6","0","0.50","0.50","0.08","0.35","-337.5","5.36","0.45","20","0.21","2017-11-23","393550"
"BAD END","0","0","6","0","0.40","0.40","0.07","0.05","28.6","0.12","0.07","52","0.18","2017-11-21","415850"
"Qbik","0","0","6","0","0.25","0.25","0.04","0.02","50.0","0.03","0.03","551","0.10","2017-11-18","618470"
"Yu-Gi-Oh! Duel Links","0","0","6","0","0.30","0.30","0.05","0.09","-80.0","0.05","0.05","919","0.13","2017-11-17","601510"
"Tower 57","0","0","6","0","0.28","0.28","0.05","0.04","20.0","0.03","0.03","144","0.13","2017-11-15","530950"
"Harvest Moon: Light of Hope","0","0","6","0","0.58","0.58","0.10","0.19","-90.0","1.85","0.10","110","0.26","2017-11-14","585900"
"Tokyo Tattoo Girls","0","0","6","0","0.67","0.67","0.11","0.22","-100.0","0.36","0.31","29","0.29","2017-11-14","552910"
"Outcast - Second Contact","0","0","6","0","0.34","0.34","0.06","0.05","16.7","0.04","0.06","152","0.16","2017-11-14","618970"
"Sky Hunter","0","0","6","0","1.19","1.19","0.20","N/A","0.0","2.80","0.85","19","0.52","2017-11-13","690460"
"Nomad Fleet","0","0","6","0","0.31","0.31","0.05","0.04","20.0","0.03","0.03","40","0.13","2017-11-13","371010"
"EMERGENCY 20","0","0","6","0","0.48","0.48","0.08","0.07","12.5","0.06","0.06","180","0.21","2017-11-10","735280"
"Star Traders: Frontiers","0","0","6","0","0.35","0.35","0.06","0.05","16.7","0.07","0.05","176","0.16","2017-11-09","335620"
"LOVE 2: kuso","0","0","6","0","0.60","0.60","0.10","0.10","0.0","0.18","0.05","23","0.26","2017-11-06","578930"
"Thaumistry: In Charm's Way","0","0","6","0","0.93","0.93","0.15","N/A","0.0","2.13","0.61","30","0.39","2017-11-05","532980"
"Eternity Warriors™ VR","0","0","6","0","0.75","0.75","0.12","0.18","-50.0","0.65","1.30","24","0.31","2017-11-03","664090"
"ThunderWheels","0","0","6","0","0.58","0.58","0.10","N/A","0.0","1.40","0.34","22","0.26","2017-11-02","296790"
"Bionic Battle Mutants","0","0","6","0","0.36","0.36","0.06","N/A","0.0","0.12","0.83","30","0.16","2017-11-02","625820"
"Sword Art Online: Hollow Realization Deluxe Edition","0","0","6","0","0.58","0.58","0.10","0.13","-30.0","0.08","0.09","363","0.26","2017-10-27","607890"
"Production Line","0","0","6","0","0.31","0.31","0.05","0.05","0.0","0.06","0.06","186","0.13","2017-10-25","591370"
"Princess of Tavern Collector's Edition","0","0","6","0","0.36","0.36","0.06","0.33","-450.0","1.25","0.37","30","0.16","2017-10-24","545830"
"AER Memories of Old","0","0","6","0","0.33","0.33","0.05","0.04","20.0","0.03","0.03","456","0.13","2017-10-24","331870"
"Gum Guy","0","0","6","0","0.42","0.42","0.07","0.14","-100.0","0.03","0.03","43","0.18","2017-10-23","568130"
"Pawarumi","0","0","6","0","0.43","0.43","0.07","N/A","0.0","0.21","0.52","17","0.18","2017-10-23","610410"
"Super Man Or Monster","0","0","6","0","0.68","0.68","0.11","0.33","-200.0","1.01","1.15","37","0.29","2017-10-21","393220"
"X-17","0","0","6","0","0.25","0.25","0.04","0.04","0.0","0.03","0.03","550","0.10","2017-10-20","448060"
"Arizona Sunshine","0","0","6","0","0.29","0.29","0.05","0.03","40.0","0.07","0.05","560","0.13","2017-10-20","342180"
"Welcome to Hanwell","0","0","6","0","0.35","0.35","0.06","0.10","-66.7","0.05","0.07","86","0.16","2017-10-20","611750"
"The Jackbox Party Pack 4","0","0","6","0","0.27","0.27","0.05","0.03","40.0","0.05","0.04","820","0.13","2017-10-20","610180"
"Heroine Anthem Zero","0","0","6","0","0.67","0.67","0.11","0.17","-54.5","0.04","0.60","46","0.29","2017-10-18","537990"
"Luna Online: Reborn","0","0","6","0","0.75","0.75","0.12","0.15","-25.0","0.85","4.83","106","0.31","2017-10-17","457590"
"PWND","0","0","6","0","0.76","0.76","0.13","0.33","-153.8","0.15","0.05","66","0.34","2017-10-17","553660"
"Rogue Trooper Redux","0","0","6","0","0.55","0.55","0.09","0.14","-55.6","0.06","0.06","26","0.23","2017-10-17","529490"
"mdiapp+ SE","0","0","6","0","0.81","0.81","0.14","N/A","0.0","0.26","2.22","28","0.37","2017-10-17","403030"
"Overgrowth","0","0","6","0","0.35","0.35","0.06","0.04","33.3","0.05","0.05","180","0.16","2017-10-17","25000"
"Zombie Playground™","0","0","6","0","0.43","0.43","0.07","0.05","28.6","0.04","0.03","40","0.18","2017-10-16","215550"
"Rise to Ruins","0","0","6","0","0.30","0.30","0.05","0.04","20.0","0.06","0.05","181","0.13","2017-10-15","328080"
"Cinderella Escape 2 Revenge","0","0","6","0","0.77","0.77","0.13","0.18","-38.5","0.24","0.71","27","0.34","2017-10-14","710030"
"Dragon Glory","0","0","6","0","0.91","0.91","0.15","0.25","-66.7","0.49","1.16","47","0.39","2017-10-10","673940"
"Bestseller: Curse of the Golden Owl","0","0","6","0","1.14","1.14","0.19","N/A","0.0","1.32","0.56","32","0.50","2017-10-10","591090"
"CYBER JOLT","0","0","6","0","0.35","0.35","0.06","0.06","0.0","0.31","0.15","33","0.16","2017-10-10","580680"
"Winged Sakura: Endless Dream","0","0","6","0","0.91","0.91","0.15","0.24","-60.0","0.42","0.17","25","0.39","2017-10-07","339250"
"The Fall of Lazarus","0","0","6","0","0.94","0.94","0.16","0.31","-93.8","3.27","0.15","19","0.42","2017-10-05","622010"
"ICEBOX: Speedgunner","0","0","6","0","0.48","0.48","0.08","N/A","0.0","2.06","2.31","16","0.21","2017-10-03","577150"
"Arrow Heads","0","0","6","0","0.58","0.58","0.10","N/A","0.0","0.66","1.75","20","0.26","2017-10-03","580890"
"Darkest Hunters","0","0","6","0","0.33","0.33","0.06","0.05","16.7","0.12","0.12","35","0.16","2017-10-02","654300"
"Short Stories Collection of Class Tangerine","0","0","6","0","0.42","0.42","0.07","0.19","-171.4","0.13","0.13","41","0.18","2017-09-30","701930"
"GOKEN","0","0","6","0","0.46","0.46","0.08","0.21","-162.5","2.17","0.72","22","0.21","2017-09-29","671260"
"Total War: WARHAMMER II","0","0","6","0","0.30","0.30","0.05","0.05","0.0","0.04","0.04","2453","0.13","2017-09-28","594570"
"Caligo","0","0","6","0","0.33","0.33","0.06","0.06","0.0","0.11","0.03","45","0.16","2017-09-25","629840"
"Age of Gladiators II: Death League","0","0","6","0","0.45","0.45","0.07","0.05","28.6","0.08","0.27","22","0.18","2017-09-23","639300"
"The Artifact","0","0","6","0","0.41","0.41","0.07","0.10","-42.9","0.03","0.03","131","0.18","2017-09-21","532920"
"Operator Overload","0","0","6","0","0.80","0.80","0.13","N/A","0.0","176.28","4.38","17","0.34","2017-09-19","499140"
