"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Garrison: Archangel","0","0","15","0","0.61","0.61","0.04","0.13","-225.0","3.78","0.25","105","0.28","2020-05-09","682450"
"Moving Out","0","0","15","0","0.50","0.50","0.03","0.02","33.3","0.05","0.04","667","0.21","2020-04-30","996770"
"Interrogation: You will be deceived","0","0","15","0","0.58","0.58","0.04","0.08","-100.0","0.47","0.06","154","0.28","2020-04-27","1016770"
"OMON Simulator","0","0","15","0","0.46","0.46","0.03","0.02","33.3","0.03","0.03","606","0.21","2020-04-22","1140440"
"Plebby Quest: The Crusades","0","0","15","0","0.55","0.55","0.04","0.03","25.0","0.06","0.05","229","0.28","2020-04-10","334310"
"Legend of Keepers","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.05","0.04","987","0.21","2020-04-09","978520"
"Morels: The Hunt","0","0","15","0","0.75","0.75","0.05","0.40","-700.0","0.43","1.87","32","0.35","2020-03-26","1156590"
"One Step From Eden","0","0","15","0","0.59","0.59","0.04","0.04","0.0","0.05","0.07","675","0.28","2020-03-26","960690"
"MUSYNX","0","0","15","0","0.62","0.62","0.04","0.03","25.0","0.10","0.11","347","0.28","2020-03-15","952040"
"Iris and the giant","0","0","15","0","0.54","0.54","0.04","0.02","50.0","0.04","0.03","367","0.28","2020-03-12","1127610"
"Langrisser I & II","0","0","15","0","0.69","0.69","0.05","0.10","-100.0","9.83","0.08","65","0.35","2020-03-10","1060220"
"The Legend of Heroes: Trails of Cold Steel III","0","0","15","0","0.96","0.96","0.06","0.05","16.7","0.17","0.09","150","0.42","2020-03-06","991270"
"TrymenT ―献给渴望改变的你―","0","0","15","0","1.30","1.30","0.09","0.08","11.1","0.07","2.07","66","0.63","2020-02-23","1183260"
"Zeran's Folly","0","0","15","0","0.67","0.67","0.04","N/A","0.0","6.29","6.12","31","0.28","2020-02-18","665030"
"The Coma 2: Vicious Sisters","0","0","15","0","0.59","0.59","0.04","0.03","25.0","0.03","0.04","416","0.28","2020-01-28","1045720"
"Legends of Amberland","0","0","15","0","1.22","1.22","0.08","N/A","0.0","3.16","0.20","23","0.56","2020-01-08","873890"
"Mutazione","0","0","15","0","0.77","0.77","0.05","0.09","-80.0","0.31","0.05","58","0.35","2020-01-05","1080750"
"Franchise Hockey Manager 6","0","0","15","0","0.68","0.68","0.05","N/A","0.0","1.01","0.99","83","0.35","2019-12-18","1087270"
"Steam Marines 2","0","0","15","0","1.37","1.37","0.09","N/A","0.0","13.30","2.72","69","0.63","2019-11-21","383940"
"Digimon Story Cyber Sleuth: Complete Edition","0","0","15","0","0.86","0.86","0.06","0.06","0.0","0.20","0.11","478","0.42","2019-11-05","1042550"
"Planet Zoo","0","0","15","0","0.60","0.60","0.04","0.04","0.0","0.05","0.04","4938","0.28","2019-11-05","703080"
"HARDCORE MECHA","0","0","15","0","0.69","0.69","0.05","0.04","20.0","0.10","0.25","137","0.35","2019-10-18","746580"
"Russian Life Simulator","0","0","15","0","0.53","0.53","0.04","0.02","50.0","0.03","0.06","1326","0.28","2019-10-13","1070330"
"Stygian: Reign of the Old Ones","0","0","15","0","0.51","0.51","0.03","0.02","33.3","0.03","0.03","279","0.21","2019-09-26","779290"
"Gears 5","0","0","15","0","0.57","0.57","0.04","0.02","50.0","0.06","0.05","1123","0.28","2019-09-07","1097840"
"Wasteland 2: Director's Cut","0","0","15","0","0.59","0.59","0.04","0.03","25.0","0.05","0.05","563","0.28","2019-09-05","404730"
"Spyro™ Reignited Trilogy","0","0","15","0","0.96","0.96","0.06","0.06","0.0","0.05","0.04","1128","0.42","2019-09-03","996580"
"ONINAKI","0","0","15","0","0.92","0.92","0.06","N/A","0.0","1.70","0.38","39","0.42","2019-08-22","987720"
"Levelhead","0","0","15","0","0.48","0.48","0.03","0.03","0.0","0.04","0.04","483","0.21","2019-08-16","792710"
"London Detective Mysteria","0","0","15","0","1.63","1.63","0.11","0.16","-45.5","0.74","0.60","33","0.77","2019-07-31","627350"
"Ultratank","0","0","15","0","0.60","0.60","0.04","0.18","-350.0","0.03","0.03","172","0.28","2019-07-22","619610"
"Gravity Vector","0","0","15","0","0.58","0.58","0.04","N/A","0.0","0.86","0.41","45","0.28","2019-06-25","582820"
"Vambrace: Cold Soul","0","0","15","0","0.61","0.61","0.04","0.12","-200.0","0.31","0.07","125","0.28","2019-06-14","904380"
"Chippy","0","0","15","0","1.32","1.32","0.09","0.04","55.6","0.20","0.07","38","0.63","2019-06-14","602700"
"Warhammer: Chaosbane","0","0","15","0","0.60","0.60","0.04","0.04","0.0","0.05","0.07","375","0.28","2019-06-06","774241"
"Dollhouse","0","0","15","0","0.58","0.58","0.04","0.09","-125.0","0.19","0.19","64","0.28","2019-06-04","280850"
"Swarm Queen","0","0","15","0","0.67","0.67","0.04","0.07","-75.0","0.65","0.26","47","0.28","2019-05-20","701870"
"Peekaboo","0","0","15","0","0.60","0.60","0.04","0.02","50.0","0.04","0.03","376","0.28","2019-05-10","1048100"
"Deck of Ashes","0","0","15","0","0.61","0.61","0.04","0.04","0.0","0.18","0.77","177","0.28","2019-04-29","1016730"
"The World Next Door","0","0","15","0","0.82","0.82","0.05","0.09","-80.0","0.10","1.64","66","0.35","2019-04-26","755470"
"Fell Seal: Arbiter's Mark","0","0","15","0","0.54","0.54","0.04","0.02","50.0","0.05","0.05","552","0.28","2019-04-24","699170"
"DISSIDIA FINAL FANTASY NT Free Edition","0","0","15","0","0.96","0.96","0.06","0.05","16.7","0.05","0.35","65","0.42","2019-03-13","921590"
"The Ballad Singer","0","0","15","0","1.88","1.88","0.13","0.11","15.4","21.24","1.12","16","0.90","2019-02-27","907380"
"SNK HEROINES Tag Team Frenzy","0","0","15","0","0.69","0.69","0.05","0.05","0.0","0.14","0.22","65","0.35","2019-02-21","794580"
"Axis Football 2018","0","0","15","0","1.08","1.08","0.07","0.11","-57.1","0.15","0.06","32","0.49","2019-02-10","932980"
"GOD EATER 3","0","0","15","0","0.61","0.61","0.04","0.05","-25.0","0.05","0.05","718","0.28","2019-02-08","899440"
"DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition","0","0","15","0","0.66","0.66","0.04","0.05","-25.0","0.05","0.10","91","0.28","2019-01-21","968790"
"Rabbit Story","0","0","15","0","1.94","1.94","0.13","0.09","30.8","1.32","0.16","35","0.90","2019-01-09","623810"
"HEARTBEAT","0","0","15","0","0.83","0.83","0.06","0.10","-66.7","0.19","0.22","44","0.42","2018-12-26","984560"
"Good Pizza, Great Pizza","0","0","15","0","0.71","0.71","0.05","0.04","20.0","0.14","0.08","105","0.35","2018-12-19","770810"
"FIGHTING EX LAYER","0","0","15","0","0.60","0.60","0.04","0.10","-150.0","0.14","0.12","69","0.28","2018-12-05","871200"
"东方大战争 ~ Touhou Big Big Battle","0","0","15","0","1.38","1.38","0.09","0.06","33.3","0.41","0.08","57","0.63","2018-12-01","878380"
"Robothorium","0","0","15","0","0.68","0.68","0.05","0.05","0.0","0.04","0.04","117","0.35","2018-11-29","657090"
"Sunset Overdrive","0","0","15","0","0.52","0.52","0.03","0.02","33.3","0.04","0.04","1034","0.21","2018-11-19","847370"
"GRIP: Combat Racing","0","0","15","0","0.57","0.57","0.04","0.02","50.0","0.04","0.03","686","0.28","2018-11-06","396900"
"Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-","0","0","15","0","0.93","0.93","0.06","0.06","0.0","1.03","0.51","119","0.42","2018-11-06","931500"
"Leisure Suit Larry - Wet Dreams Don't Dry","0","0","15","0","0.58","0.58","0.04","0.09","-125.0","0.09","0.05","192","0.28","2018-11-05","765870"
"Metamorfose S","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.03","0.03","412","0.21","2018-10-25","569290"
"RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION","0","0","15","0","0.63","0.63","0.04","0.07","-75.0","0.32","0.36","103","0.28","2018-10-21","645730"
"Siralim 3","0","0","15","0","0.69","0.69","0.05","0.06","-20.0","0.08","0.05","155","0.35","2018-10-20","841770"
"Star Control: Origins","0","0","15","0","0.57","0.57","0.04","0.04","0.0","0.05","0.25","188","0.28","2018-10-05","271260"
"Gun Club VR","0","0","15","0","0.80","0.80","0.05","0.04","20.0","0.06","0.19","87","0.35","2018-10-02","691320"
"Chasm","0","0","15","0","0.60","0.60","0.04","0.03","25.0","0.03","0.05","429","0.28","2018-09-05","312200"
